77	0.01777	adopted	progress	examined	relevant	opinion	internal	departments	parliament	proposal	committee
81	0.02431	made	effects	main	time	foreign	external	level	measures	system	community’s
84	0.86576	accordance	regulation	community	public	open	file	european	february	september	euratom
85	0.00743	decision	arrangements	signed	trade	force	applicable	entry	republic	january	october
86	0.00061	officially	directive	united	kingdom	tuberculosis	derogations	brucellosis	cattle	denmark	ireland
89	0.03133	december	carried	laid	present	view	adopted	application	apply	provisions	rules
92	0.00243	dumping	final	words	addenda	general	trade	countries	developing	agreement	agreed
95	0.00362	particulars	conversion	production	amount	premium	premiums	herds	meat	dairy	instalment
98	0.00427	convention	court	agreement	rate	commission	auditors	financial	internal	interest	eua
99	0.03008	european	article	agreement	republic	economic	government	committee	council	community	communities
100	0.00366	kind	slightly	cuts	dried	fat	pigmeat	pig	meat	offal	unboned
102	0.04803	article	laid	provisions	made	part	referred	basis	subject	accordance	respect
104	0.00121	surrey	fever	classical	virus	swine	animal	veterinary	laboratory	research	institute
106	0.0043	december	respect	community	quantitative	products	exports	request	proposals	quotas	restrictions
107	0.0006	transfers	enterprises	stage	action	short	gold	graph	deflator	underlying	stabilisation
109	0.00121	working	opportunities	women	equal	treatment	states	commission	directive	action	measures
111	0.00242	community	annex	wood	regulations	products	imports	subject	deleted	mentioned	appearing
113	0.00302	annex	duties	initial	equivalent	basic	specific	requested	applied	abolition	abolished
114	0.0006	state	flue	device	reference	approval	inspection	requirements	maximum	measured	adjusted
115	0.0006	october	integrated	foreigners	sensitive	evidence	suggested	maintained	rural	geographical	three-year
116	0.00672	system	subject	refunds	products	veal	beef	export	import	licences	licence
117	0.00061	tramway	verifiable	beating	squared	arc	trimmings	treatment	thermal	coated	resistant
119	0.0006	reached	indian	sessions	offers	dialogue	indirect	contractual	quota	predominance	burden
120	0.00243	definitive	provisional	duty	dumping	imposed	originating	manufactured	imports	industries	products
121	0.00995	real	states	deficit	domestic	investment	price	rates	demand	growth	labour
122	0.00424	final	resources	production	stocks	estimates	year	million	increased	rose	wine-growing
123	0.00675	decision	financing	sum	continuation	carried	surveys	statistical	bovine	animals	livestock
126	0.00303	flying	january	previous	set	allocation	quotas	authorities	parties	delegations	consultations
127	0.0055	hand	enlargement	aid	general	association	agreement	application	financial	technical	yaounde
129	0.00305	article	leave	practice	view	legislation	equality	responsibilities	security	services	support
131	0.00855	powder	milk	costs	pursuant	intervention	invitation	delivery	tenderer	tender	tenders
132	0.00121	explanatory	july	irish	recourse	grown	slowed	tight	liquidity	commodity	index
134	0.0006	positive	family	men	designed	public	committee	courses	areas	implementation	provisions
137	0.00181	member	group	million	economic	countries	trade	agreement	cooperation	andean	bolivia
138	0.00241	parliament	connections	board	duty	goods	passengers	hovercraft	airplanes	ships	boats
139	0.00614	worked	tariff	certificate	authorities	community	kind	articles	products	wood	waste
140	0.00243	officer	decision	authorizing	documents	bank	currency	payment	revenue	expenditure	edf
141	0.02806	marketing	account	apply	equal	difference	amount	fixed	fixing	price	prices
143	0.00929	origin	official	general	subparagraph	minimum	approved	apply	application	products	product
146	0.00182	gmt	reasons	force	electricity	making	summer	time	evening	day	hour
147	0.00242	thick	eec	nations	refugees	united	body	authorized	office	commissionner	agent
148	0.00486	member	operations	intervention	aid	producers	distilled	distiller	wine	quantities	quantity
150	0.0006	walls	incidence	approximately	water	efficiency	extinguished	verified	instantaneous	mounted	mechanical
151	0.0074	regulation	agency	alcohol	article	eec	price	producer	distillation	delivered	referred
152	0.00242	salads	israel	democratic	foregoing	relating	tariff	quantities	customs	import	algeria
156	0.00061	buffer	contributions	tin	consuming	participants	countries	agreement	financial	price	stock
158	0.0138	adjusted	observed	marked	large	scale	stability	trade	consumer	sector	markets
159	0.00551	cover	recovered	transfer	balance	situation	state	resources	payments	report	estimated
161	0.00121	sea	united	law	convention	preparatory	organization	international	nations	authority	commission
164	0.0006	exchange	information	quality	fresh	surface	water	law	directive	amendments	proposal
167	0.00121	lay	fan	methods	free	regulating	manufacturing	volume	relevant	service	user
168	0.00748	article	years	loan	area	commission	project	company	employment	jobs	ecsc
170	0.00243	production	laid	prepared	harvested	hops	hop	rules	procedure	certificate	certification
172	0.00181	enlarging	living	works	companies	cultural	composers	music	audiences	audience	theatre
173	0.0006	test	burner	pressure	rate	temperature	water	gas	gases	appliances	appliance
174	0.00242	manioc	valuation	sentence	months	periods	substitute	line	page	insert	delete
175	0.00305	subheading	spain	coming	falling	ratio	amount	compensatory	olive	oil	oils
176	0.02273	european	account	improvement	field	area	activities	development	framework	aim	enable
177	0.00306	article	portuguese	portugal	period	fiscal	protocol	agreement	trade	imports	tariff
178	0.00303	member	added	states	business	directive	exclusion	expenditure	deduct	tax	taxable
179	0.0138	including	set	rules	internal	products	world	country	trade	exports	imports
180	0.00796	heading	falling	skimmed	aid	weight	products	powder	starch	milk	skimmed-milk
182	0.0143	member	community	initial	state	states	products	tariff	quota	share	shares
187	0.00738	excluding	heading	falling	prepared	preserved	content	products	sugar	fruit	pineapples
189	0.00363	month	conversion	indent	factors	fixed	quality	price	apples	vegetables	buying-in
190	0.00363	contracting	party	draft	session	conference	future	participation	exploitation	rights	sea-bed
191	0.00181	remainder	north	level	stock	tons	catches	sea	herring	fishery	fishing
193	0.00549	etc	filament	annex	number	position	type	adjustment	test	set	mark
195	0.00989	member	principle	information	conditions	training	social	work	employment	workers	programme
196	0.00855	injury	received	imports	interested	parties	instruments	measures	information	investigation	investigations
197	0.00797	tender	advance	regulation	article	controller	officer	institution	accounts	accounting	financial
201	0.00243	reactor	techniques	studies	comprises	general	committee	management	staff	jrc	programme
203	0.02098	fixed	article	accession	products	trade	act	applicable	compensatory	amounts	amount
207	0.0012	islands	text	printer	acids	imitation	exportation	crochet	flax	flavoured	unvulcanised
208	0.00244	switzerland	replaced	words	article	concluded	council	decision	amendments	cooperation	agreements
209	0.06897	years	present	number	commission	basis	increase	decision	situation	end	period
210	0.00554	council	united	intervention	international	stock	negotiations	agreements	prices	production	producers
212	0.00546	goods	attainment	final	regulation	union	directive	proposals	council	committee	programme
214	0.00244	highest	ceilings	width	contents	committee	consideration	joint	agreement	signing	trade
217	0.0006	williams	granting	year	aid	marketing	production	quantity	syrup	cherries	pears
226	0.00794	role	opinion	indirect	close	long	defined	standards	data	services	centre
227	0.0006	letters	agreements	quantities	sugar	people’s	republic	congo	kenya	uganda	surinam
229	0.00368	wines	drawn	statistics	concerned	reserve	state	quotas	order	ensure	instalment
231	0.05881	make	member	community	council	national	economic	states	implementation	provisions	measures
232	0.01704	european	early	analysis	level	impact	financial	situation	continue	efforts	policies
233	0.02083	community	common	question	kingdom	originating	tariff	imports	customs	duties	duty
235	0.00365	february	council	structural	interest	rates	recovery	progress	efforts	states	countries
239	0.0006	undertakings	concerned	major	antidumping	tapered	ball	bearings	roller	japan	japanese
243	0.0006	respect	approval	driving	standard	optical	headlights	illumination	lamps	left-hand	right-hand
249	0.0068	lorraine	job	million	small	employees	industrial	global	industry	firms	enterprises
