"","x"
"70","wine alcohol wines quality feedingstuffs additive additives psr grape authorisation produced distillation conditions authorised alcoholic raw preparation strength drinks table"
"71","die der und von den des kommission auf dass dem mit das ist werden nicht eine taâ vom nach ber"
"72","appropriations p.m commitments payments expenditure total chapter outturn appropriation remarks staff financial intended cover budget title year revenue expenses management"
"73","note part iec cenelec date expired requirements safety amendment electrical equipment appliances modified similar household machines machinery general test systems"
"74","energy gas electricity emissions production system fuel supply efficiency natural climate capacity market greenhouse renewable fuels emission transmission change coal"
"75","products health animal eec meat conditions countries imports veterinary requirements establishments fishery number laying accordance chapter certificate list laid inspection"
"76","committee social eesc opinion economic local regions regional regard society union calls policy measures order communication authorities parliament national civil"
"77","policy market economic growth services public strategy innovation sector development communication sustainable industry improve policies progress competitiveness trade lisbon key"
"78","schengen visa residence issued national nationals visas country persons border application acquis permit borders territory consular asylum sis entry transit"
"79","euro ecb central rate exchange bank national dollar operations currency eurosystem rates banks assets monetary interest reserve system reporting participating"
"80","des les van par dans pour het prã une sur een aux qui est pas crã dit ifb voor dat"
"81","imports industry product market producers sales prices price concerned production measures investigation exporting period considered dumping anti-dumping basic export injury"
"82","ships port ship maritime security safety international sea flag code ports convention marine cargo imo pollution inspection organisation requirements recognised"
"83","kingdom united germany spain ireland france sweden austria netherlands finland portugal italy belgium denmark greece luxembourg norway french northern great"
"84","fax tel ministry des e-mail department national economic affairs authority general und minister controlled ministã industry office decree notice rue"
"85","active plant eec protection substance products substances product information accordance data provided dossier health submitted conditions inclusion requirements committee assessment"
"86","countries africa south america united republic canada russia xxx islands australia egypt country japan china guinea russian brazil sri arab"
"87","transport road infrastructure goods vehicles rail traffic national safety inland undertaking services railway international freight passenger vehicle network passengers carriage"
"88","information authority data authorities competent application person request documents date access responsible registration office personal form protection requested applicant place"
"89","regard amended eec establishing december treaty amending thereof measures applicable adopted communities force official june journal brussels july provided common"
"90","engine test section exhaust air emission system gas flow values engines emissions fuel graphic%gt vehicles measurement limit speed type gt%reference"
"91","data statistics statistical information number level reference year period national activities survey results eurostat quality nace code section collection variables"
"92","programme research activities actions support programmes development training education framework objectives action specific implementation projects countries including level evaluation cooperation"
"93","maximum products fruit eec residue levels residues fresh vegetables foodstuffs origin limits animal veterinary medicinal amended pesticide established tomatoes accordance"
"94","tender invitation intervention butter tenders export maximum milk market standing refund cereals provided common regard agency issued amended fixed tenderer"
"95","eea joint committee republic regard amending economic union part amended president macedonia official behalf cooperation yugoslav published conclusion journal december"
"96","acp edf million total eur financial facility amount cotonou oct development countries acp-partnership funds billion interest cooperation envelope commitments payments"
"97","heading products services chapter articles subheading weight excluding including parts notes similar content exceeding metal explanatory preparations subheadings goods thereof"
"98","sugar products refund export refunds fixed market prices applicable exported product fixing cereals amount amended goods set listed regard sector"
"99","nuclear euratom participants energy participant blood country radioactive fuel radiation credit arrangement terms risk exposure atomic interest support export safeguards"
"100","financial year expenditure budget amount total contribution resources costs million appropriations fund payment annual budgetary revenue administrative amounts cost rate"
