topic_id;tokens1_19;match;ngramms;profondeur;BT1;MT;Domain;COMMENTAIRES
EU_en_Pres1-100_2;agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation;agreement ;1;2;EU relations;MT 1016 European construction;10 EUROPEAN UNION;Comment départager les ex-aequo dans les domains ? Même pas moyen de privilégier les plus profonds dans ce cas-ci.
EU_en_Pres1-100_2;;contract;1;2;civil law;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_2;;economics;1;2;social sciences;MT 3611 humanities;36 SCIENCE;
EU_en_Pres1-100_2;;provision;1;2;accounting;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_2;;agreement ;1;2;EU relations;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_2;;recommendation;1;2;international instrument;MT 0806 international affairs;08 INTERNATIONAL RELATIONS;
EU_en_Pres1-100_2;;contractual agreement;2;2;civil law;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_2;;economic agreement;2;2;international agreement;MT 0806 international affairs;08 INTERNATIONAL RELATIONS;
EU_en_Pres1-100_2;;;;;;;;
EU_en_Pres1-100_3;products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_3;;in country;2;4;euro area;MT 2406 monetary relations;24 FINANCE;
EU_en_Pres1-100_3;;tariff;1;3;fixing of prices;MT 2451 prices;24 FINANCE;
EU_en_Pres1-100_3;;State;1;1;State;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_3;;island;1;2;geophysical environment;MT 5211 natural environment;52 ENVIRONMENT;
EU_en_Pres1-100_3;;import;1;2;trading operation;MT 2016 trade;20 TRADE;
EU_en_Pres1-100_3;;quota;1;3;non-tariff barrier;MT 2021 international trade;20 TRADE;
EU_en_Pres1-100_3;;territoriality;1;2;public international law;MT 1231 international law;12 LAW;
EU_en_Pres1-100_3;;customs;1;2;customs regulations;MT 2011 tariff policy;20 TRADE;
EU_en_Pres1-100_3;;production quota;2;2;production policy;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_3;;;;;;;;
EU_en_Pres1-100_4;protocol|products|originating|agreement|community|decision|joint|Portugal|article|committee|economic|definition|concerning|european|concept|force|portuguese|countries|annexed;Protocol ;1;2;European treaties;MT 1011 European Union law;10 EUROPEAN UNION;
EU_en_Pres1-100_4;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_4;;agreement ;1;2;EU relations;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_4;;decision;1;4;regulation;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_4;;Portugal;1;2;Southern Europe;MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography;72 GEOGRAPHY;
EU_en_Pres1-100_4;;committee ;1;2;EU office or agency;MT 1006 EU institutions and European civil service;10 EUROPEAN UNION;
EU_en_Pres1-100_4;;economics;1;2;social sciences;MT 3611 humanities;36 SCIENCE;
EU_en_Pres1-100_4;;Europeanism;1;3;European integration;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_4;;in country;2;4;euro area;MT 2406 monetary relations;24 FINANCE;
EU_en_Pres1-100_4;;;;;;;;
EU_en_Pres1-100_5;certificate|goods|customs|movement|authorities|article|State|form|certificates|eur|country|issued|exporter|community|provisions|exporting|products|conditions|referred;customs;1;2;customs regulations;MT 2011 tariff policy;20 TRADE;
EU_en_Pres1-100_5;;author;1;2;arts;MT 2831 culture and religion;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_5;;State;1;1;State;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_5;;form;1;2;document;MT 3221 documentation;32 EDUCATION AND COMMUNICATIONS;
EU_en_Pres1-100_5;;EURES;1;2;labour market;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_5;;in country;2;4;euro area;MT 2406 monetary relations;24 FINANCE;
EU_en_Pres1-100_5;;export;1;2;trading operation;MT 2016 trade;20 TRADE;
EU_en_Pres1-100_5;;provision;1;2;accounting;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_5;;export;1;2;trading operation;MT 2016 trade;20 TRADE;
EU_en_Pres1-100_5;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_5;;movement certificate;2;3;customs document;MT 2011 tariff policy;20 TRADE;
EU_en_Pres1-100_5;;export certificate;2;3;customs document;MT 2011 tariff policy;20 TRADE;
EU_en_Pres1-100_5;;Community certification;2;4;approval;MT 6411 technology and technical regulations;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_5;;export certificate;2;3;customs document;MT 2011 tariff policy;20 TRADE;
EU_en_Pres1-100_5;;;;;;;;
EU_en_Pres1-100_6;budget|financial|expenditure|appropriations|year|commission|total|resources|will|chapter|loans|article|financing|contributions|increase|investment|years|budgetary|aid;budget;1;2;budget policy;MT 2436 public finance and budget policy;24 FINANCE;
EU_en_Pres1-100_6;;expenditure;1;3;operating result;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_6;;will;1;3;transfer of property;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_6;;loan;1;2;credit;MT 2416 financial institutions and credit;24 FINANCE;
EU_en_Pres1-100_6;;financing;1;1;financing;MT 2426 financing and investment;24 FINANCE;
EU_en_Pres1-100_6;;investment;1;1;investment;MT 2426 financing and investment;24 FINANCE;
EU_en_Pres1-100_6;;AIDS;1;4;sexually transmitted disease;MT 2841 health;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_6;;budget financing;2;1;budget financing;MT 2441 budget;24 FINANCE;
EU_en_Pres1-100_6;;budget year;2;2;implementation of the budget;MT 2441 budget;24 FINANCE;
EU_en_Pres1-100_6;;budget financing;2;1;budget financing;MT 2441 budget;24 FINANCE;
EU_en_Pres1-100_6;;budget year;2;2;implementation of the budget;MT 2441 budget;24 FINANCE;
EU_en_Pres1-100_6;;;;;;;;
EU_en_Pres1-100_7;community|policy|member|states|commission|will|economic|common|european|measures|development|action|policies|council|objectives|problems|market|national|proposals;State;1;1;State;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_7;;will;1;3;transfer of property;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_7;;economics;1;2;social sciences;MT 3611 humanities;36 SCIENCE;
EU_en_Pres1-100_7;;Europeanism;1;3;European integration;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_7;;marketing;1;1;marketing;MT 2031 marketing;20 TRADE;
EU_en_Pres1-100_7;;nationalism;1;2;political ideology;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_7;;proposal ;1;3;drafting of EU law;MT 1011 European Union law;10 EUROPEAN UNION;
EU_en_Pres1-100_7;;Community policy;2;3;EU activity;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_7;;European Communities;2;1;European Communities;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_7;;Community policy;2;3;EU activity;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_7;;Community market;2;2;market;MT 2006 trade policy;20 TRADE;
EU_en_Pres1-100_7;;Community national;2;3;national;MT 1231 international law;12 LAW;
EU_en_Pres1-100_7;;;;;;;;
EU_en_Pres1-100_8;social|workers|employment|labour|working|work|training|women|action|migrant|conditions|collective|vocational|participation|industrial|schemes|persons|living|worker;socialism;1;2;political ideology;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_8;;worker ;1;2;labour force;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_8;;employer;1;2;labour market;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_8;;labourer;1;3;blue-collar worker;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_8;;work;1;1;work;MT 4416 organisation of work and working conditions;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_8;;work;1;1;work;MT 4416 organisation of work and working conditions;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_8;;train;1;3;rail transport;MT 4816 land transport;48 TRANSPORT;
EU_en_Pres1-100_8;;women;1;3;distribution by sex;MT 2816 demography and population;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_8;;migrant;1;2;migration;MT 2811 migration;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_8;;industrialization;1;2;industrial policy;MT 6806 industrial structures and policy;68 INDUSTRY;
EU_en_Pres1-100_8;;personality;1;3;psychology;MT 3611 humanities;36 SCIENCE;
EU_en_Pres1-100_8;;worker ;1;2;labour force;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_8;;social worker;2;2;social policy;MT 2826 social affairs;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_8;;social work;2;2;welfare;MT 2836 social protection;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_8;;social work;2;2;welfare;MT 2836 social protection;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_8;;social worker;2;2;social policy;MT 2826 social affairs;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_8;;;;;;;;
EU_en_Pres1-100_9;test|gas|pressure|appliance|water|measuring|level|appliances|sound|rate|temperature|eec|tests|noise|conditions|approval|inspection|meter|type;testing;1;3;product design;MT 6411 technology and technical regulations;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_9;;gas;1;3;fuel;MT 6606 energy policy;66 ENERGY;
EU_en_Pres1-100_9;;water;1;3;aquatic environment;MT 5211 natural environment;52 ENVIRONMENT;
EU_en_Pres1-100_9;;rates;1;2;tax on income;MT 2446 taxation;24 FINANCE;
EU_en_Pres1-100_9;;EEC;1;2;European Communities;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_9;;testing;1;3;product design;MT 6411 technology and technical regulations;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_9;;noise;1;2;nuisance;MT 5216 deterioration of the environment;52 ENVIRONMENT;
EU_en_Pres1-100_9;;approval;1;3;standardisation;MT 6411 technology and technical regulations;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_9;;meter;1;2;precision engineering;MT 6821 mechanical engineering;68 INDUSTRY;
EU_en_Pres1-100_9;;;;;;;;
EU_en_Pres1-100_10;aid|expenditure|amount|commission|granted|guarantee|financing|guidance|projects|agricultural|paid|EAGGF|fund|account|reimbursement|financial|respect|applications|premiums;AIDS;1;4;sexually transmitted disease;MT 2841 health;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_10;;expenditure;1;3;operating result;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_10;;guarantee;1;3;contract;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_10;;financing;1;1;financing;MT 2426 financing and investment;24 FINANCE;
EU_en_Pres1-100_10;;agriculture;1;3;primary sector;MT 1621 economic structure;16 ECONOMICS;
EU_en_Pres1-100_10;;EAGGF;1;4;fund ;MT 1021 EU finance;10 EUROPEAN UNION;
EU_en_Pres1-100_10;;fund ;1;3;EU financial instrument;MT 1021 EU finance;10 EUROPEAN UNION;
EU_en_Pres1-100_10;;accounting;1;1;accounting;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_10;;granting of aid;3;1;granting of aid;MT 1606 economic policy;16 ECONOMICS;
EU_en_Pres1-100_10;;financing of aid;3;3;aid system;MT 0811 cooperation policy;08 INTERNATIONAL RELATIONS;
EU_en_Pres1-100_10;;reimbursement of aid;3;2;economic support;MT 1606 economic policy;16 ECONOMICS;
EU_en_Pres1-100_10;;financial aid;2;2;aid policy;MT 0811 cooperation policy;08 INTERNATIONAL RELATIONS;
EU_en_Pres1-100_10;;application for aid;3;2;aid policy;MT 0811 cooperation policy;08 INTERNATIONAL RELATIONS;
EU_en_Pres1-100_10;;;;;;;;
EU_en_Pres1-100_11;law|rights|court|period|contract|authority|legal|treaty|commercial|protection|draft|provisions|european|justice|State|laws|communities|proceedings|statute;law;1;1;law;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_11;;right;1;2;political tendency;MT 0411 political party;04 POLITICS;
EU_en_Pres1-100_11;;periodical;1;2;document;MT 3221 documentation;32 EDUCATION AND COMMUNICATIONS;
EU_en_Pres1-100_11;;contract;1;2;civil law;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_11;;author;1;2;arts;MT 2831 culture and religion;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_11;;legality;1;2;political philosophy;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_11;;draft;1;4;deposit money;MT 2411 monetary economics;24 FINANCE;
EU_en_Pres1-100_11;;provision;1;2;accounting;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_11;;Europeanism;1;3;European integration;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_11;;State;1;1;State;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_11;;law;1;1;law;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_11;;law of states;3;2;public international law;MT 1231 international law;12 LAW;
EU_en_Pres1-100_11;;;;;;;;
EU_en_Pres1-100_12;hops|reagents|area|areas|uranium|tissue|typing|varieties|northern|harvest|producer|hop|brewer|groups|aid|prospecting|reagent|de|european;hops;1;2;industrial plant;MT 6006 plant product;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_12;;uranium;1;3;radioactive materials;MT 6621 electrical and nuclear industries;66 ENERGY;
EU_en_Pres1-100_12;;harvester;1;4;agricultural machinery;MT 5626 means of agricultural production;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_12;;hops;1;2;industrial plant;MT 6006 plant product;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_12;;group ;1;3;European Parliament;MT 1006 EU institutions and European civil service;10 EUROPEAN UNION;
EU_en_Pres1-100_12;;AIDS;1;4;sexually transmitted disease;MT 2841 health;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_12;;Europeanism;1;3;European integration;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_12;;;;;;;;
EU_en_Pres1-100_13;transport|road|traffic|carriage|goods|vehicles|inland|tariffs|system|vehicle|services|rates|international|regulation|regulations|waterway|vessels|infrastructure|undertakings;road;1;3;road transport;MT 4816 land transport;48 TRANSPORT;
EU_en_Pres1-100_13;;vehicle;1;2;means of transport;MT 4811 organisation of transport;48 TRANSPORT;
EU_en_Pres1-100_13;;tariff;1;3;fixing of prices;MT 2451 prices;24 FINANCE;
EU_en_Pres1-100_13;;vehicle;1;2;means of transport;MT 4811 organisation of transport;48 TRANSPORT;
EU_en_Pres1-100_13;;service;1;2;goods and services;MT 2026 consumption;20 TRADE;
EU_en_Pres1-100_13;;rates;1;2;tax on income;MT 2446 taxation;24 FINANCE;
EU_en_Pres1-100_13;;regulation;1;3;legislation;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_13;;regulation;1;3;legislation;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_13;;waterway;1;2;inland waterway transport;MT 4821 maritime and inland waterway transport;48 TRANSPORT;
EU_en_Pres1-100_13;;vessel;1;2;maritime transport;MT 4821 maritime and inland waterway transport;48 TRANSPORT;
EU_en_Pres1-100_13;;waterway transport;2;2;inland waterway transport;MT 4821 maritime and inland waterway transport;48 TRANSPORT;
EU_en_Pres1-100_13;;transport vessel;2;3;fishing fleet;MT 5641 fisheries;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_13;;transport undertaking;2;2;organisation of transport;MT 4811 organisation of transport;48 TRANSPORT;
EU_en_Pres1-100_13;;road traffic;2;3;road transport;MT 4816 land transport;48 TRANSPORT;
EU_en_Pres1-100_13;;;;;;;;
EU_en_Pres1-100_14;member|grouping|checks|states|members|irregularities|contract|control|regulation|national|consumer|inspection|nationals|legal|illegal|rights|carried|regulations|persons;group ;1;3;European Parliament;MT 1006 EU institutions and European civil service;10 EUROPEAN UNION;
EU_en_Pres1-100_14;;State;1;1;State;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_14;;contract;1;2;civil law;MT 1211 civil law;12 LAW;
EU_en_Pres1-100_14;;regulation;1;3;legislation;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_14;;nationalism;1;2;political ideology;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_14;;consumer;1;1;consumer;MT 2026 consumption;20 TRADE;
EU_en_Pres1-100_14;;nationalism;1;2;political ideology;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_14;;legality;1;2;political philosophy;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_14;;illegality;1;2;political philosophy;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_14;;right;1;2;political tendency;MT 0411 political party;04 POLITICS;
EU_en_Pres1-100_14;;regulation;1;3;legislation;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_14;;personality;1;3;psychology;MT 3611 humanities;36 SCIENCE;
EU_en_Pres1-100_14;;;;;;;;
EU_en_Pres1-100_15;staff|benefits|security|employed|health|allowance|social|employment|july|family|conditions|servants|pension|officials|regulations|salary|insurance|remuneration|pensions;staff;1;2;personnel administration;MT 4421 personnel management and staff remuneration;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;securities;1;2;financial market;MT 2421 free movement of capital;24 FINANCE;
EU_en_Pres1-100_15;;employee;1;2;occupational status;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;health;1;1;health;MT 2841 health;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_15;;socialism;1;2;political ideology;MT 0406 political framework;04 POLITICS;
EU_en_Pres1-100_15;;employer;1;2;labour market;MT 4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;family;1;1;family;MT 2806 family;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_15;;servant ;1;2;European civil service;MT 1006 EU institutions and European civil service;10 EUROPEAN UNION;
EU_en_Pres1-100_15;;pensioner;1;2;termination of employment;MT 4406 employment;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;regulation;1;3;legislation;MT 1206 sources and branches of the law;12 LAW;
EU_en_Pres1-100_15;;salary;1;2;remuneration of work;MT 4421 personnel management and staff remuneration;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;insurance;1;1;insurance;MT 2431 insurance;24 FINANCE;
EU_en_Pres1-100_15;;remuneration;1;2;remuneration of work;MT 4421 personnel management and staff remuneration;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;pensioner;1;2;termination of employment;MT 4406 employment;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_15;;;;;;;;
EU_en_Pres1-100_16;weight|cheese|exceeding|cheese|net|content|Spain|spanish|fat|milk|subheading|products|frontier|ua|minimum|falling|annex|customs|free;cheese;1;2;milk product;MT 6016 processed agricultural produce;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_16;;cheese;1;2;milk product;MT 6016 processed agricultural produce;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_16;;Spain;1;2;Southern Europe;MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography;72 GEOGRAPHY;
EU_en_Pres1-100_16;;fats;1;1;fats;MT 6016 processed agricultural produce;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_16;;milk;1;2;milk product;MT 6016 processed agricultural produce;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_16;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_16;;frontier;1;3;territorial law;MT 1231 international law;12 LAW;
EU_en_Pres1-100_16;;UA;1;;;;;
EU_en_Pres1-100_16;;customs;1;2;customs regulations;MT 2011 tariff policy;20 TRADE;
EU_en_Pres1-100_16;;;;;;;;
EU_en_Pres1-100_17;price|prices|market|year|marketing|fixed|products|account|community|reference|common|fixing|average|amount|level|basis|product|production|threshold;prices;1;1;prices;MT 2451 prices;24 FINANCE;
EU_en_Pres1-100_17;;prices;1;1;prices;MT 2451 prices;24 FINANCE;
EU_en_Pres1-100_17;;marketing;1;1;marketing;MT 2031 marketing;20 TRADE;
EU_en_Pres1-100_17;;marketing;1;1;marketing;MT 2031 marketing;20 TRADE;
EU_en_Pres1-100_17;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_17;;accounting;1;1;accounting;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_17;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_17;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_17;;reference price;2;2;farm prices;MT 2451 prices;24 FINANCE;
EU_en_Pres1-100_17;;threshold price;2;2;farm prices;MT 2451 prices;24 FINANCE;
EU_en_Pres1-100_17;;;;;;;;
EU_en_Pres1-100_18;agricultural|oil|products|common|rate|olive|measures|seed|agriculture|marketing|production|amounts|milk|cereals|oils|seeds|colza|rates|wheat;agriculture;1;3;primary sector;MT 1621 economic structure;16 ECONOMICS;
EU_en_Pres1-100_18;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_18;;rates;1;2;tax on income;MT 2446 taxation;24 FINANCE;
EU_en_Pres1-100_18;;olive;1;2;oleaginous plant;MT 6006 plant product;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_18;;seed;1;2;means of agricultural production;MT 5626 means of agricultural production;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_18;;agriculture;1;3;primary sector;MT 1621 economic structure;16 ECONOMICS;
EU_en_Pres1-100_18;;marketing;1;1;marketing;MT 2031 marketing;20 TRADE;
EU_en_Pres1-100_18;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_18;;milk;1;2;milk product;MT 6016 processed agricultural produce;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_18;;cereals;1;1;cereals;MT 6006 plant product;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_18;;seed;1;2;means of agricultural production;MT 5626 means of agricultural production;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_18;;rates;1;2;tax on income;MT 2446 taxation;24 FINANCE;
EU_en_Pres1-100_18;;wheat;1;2;cereals;MT 6006 plant product;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_18;;agricultural production;2;3;agricultural productivity;MT 5616 farming systems;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_18;;agricultural market;2;2;agricultural policy;MT 5606 agricultural policy;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_18;;agricultural production;2;3;agricultural productivity;MT 5616 farming systems;56 AGRICULTURE, FORESTRY AND FISHERIES;
EU_en_Pres1-100_18;;oil production;2;2;oil industry;MT 6616 oil industry;66 ENERGY;
EU_en_Pres1-100_18;;;;;;;;
EU_en_Pres1-100_19;committee|commission|members|chairman|working|representatives|meetings|opinion|set|advisory|three|decision|office|meeting|member|work|representative|party|request;committee ;1;2;EU office or agency;MT 1006 EU institutions and European civil service;10 EUROPEAN UNION;
EU_en_Pres1-100_19;;work;1;1;work;MT 4416 organisation of work and working conditions;44 EMPLOYMENT AND WORKING CONDITIONS;
EU_en_Pres1-100_19;;opinion;1;2;legislative procedure;MT 0426 parliamentary proceedings;04 POLITICS;
EU_en_Pres1-100_19;;decision;1;4;regulation;MT 1206 sources and branches of the law;12 LAW;
