value,stem
wine,wine
duty,duti
nuclear,nuclear
tariff,tariff
products,product
economic,econom
amounts,amount
recipient,recipi
community,commun
countries,countri
products,product
goods,good
financial,financi
policy,polici
workers,worker
gas,ga
expenditure,expenditur
rights,right
reagents,reagent
road,road
grouping,group
benefits,benefit
cheese,chees
prices,price
oil,oil
commission,commiss
states,state
european,european
regions,region
appropriation,appropri
ii,ii
areas,area
products,product
butter,butter
lights,light
textile,textil
sugar,sugar
will,will
order,order
assistance,assist
cooperation,cooper
production,product
eec,eec
kingdom,kingdom
water,water
meat,meat
tha,tha
de,de
approval,approv
decision,decis
department,depart
board,board
material,materi
paragraph,paragraph
council,council
invitation,invit
agent,agent
transit,transit
subsidy,subsidi
cotton,cotton
oil,oil
products,product
machines,machin
insurance,insur
income,incom
food,food
undertaking,undertak
community,commun
articles,articl
will,will
policy,polici
agreement,agreement
taxable,taxabl
bo,bo
regulation,regul
french,french
statistics,statist
manufacture,manufactur
pro,pro
price,price
agency,agenc
products,product
amounts,amount
fish,fish
meat,meat
community,commun
european,european
will,will
wines,wine
list,list
customs,custom
compensatory,compensatori
customs,custom
member,member
year,year
will,will
states,state
pollution,pollut
association,associ
quota,quota
protocol,protocol
commerce,commerc
products,product
reactor,reactor
disease,diseas
article,articl
cereals,cereal
decision,decis
member,member
council,council
quantitative,quantit
products,product
customs,custom
project,project
products,product
vehicles,vehicl
credit,credit
community,commun
party,parti
gas,ga
community,commun
products,product
states,state
protocol,protocol
income,incom
eec,eec
subsidy,subsidi
countries,countri
quota,quota
steel,steel
fish,fish
originating,origin
bo,bo
meat,meat
prices,price
milk,milk
data,data
workers,worker
intervention,intervent
oil,oil
customs,custom
environment,environ
approval,approv
paper,paper
financial,financi
road,road
recipient,recipi
policy,polici
areas,area
market,market
developing,develop
will,will
nuclear,nuclear
Ireland,Ireland
cotton,cotton
board,board
steel,steel
trade,trade
agency,agenc
training,train
officials,offici
workers,worker
parties,parti
oil,oil
tariff,tariff
eec,eec
agricultural,agricultur
vessels,vessel
State,State
programme,programm
growth,growth
quota,quota
agreement,agreement
projects,project
appropriations,appropri
acp,acp
states,state
data,data
marketing,market
regional,region
council,council
customs,custom
loans,loan
united,unit
animals,anim
community,commun
type,type
community,commun
products,product
convention,convent
manufacture,manufactur
fabrics,fabric
article,articl
wines,wine
sugar,sugar
community,commun
community,commun
directive,direct
products,product
including,includ
community,commun
council,council
tha,tha
task,task
traffic,traffic
portuguese,portugues
apparatus,apparatu
community,commun
fund,fund
agricultural,agricultur
programme,programm
oil,oil
leather,leather
republic,republ
products,product
price,price
project,project
states,state
united,unit
parties,parti
council,council
vessels,vessel
appropriation,appropri
production,product
will,will
development,develop
expenditure,expenditur
financing,financ
article,articl
projects,project
regulation,regul
transport,transport
working,work
june,june
quota,quota
will,will
activities,activ
protection,protect
tho,tho
Ecu,Ecu
aid,aid
commission,commiss
Spain,Spain
coal,coal
intake,intak
member,member
development,develop
projects,project
countries,countri
eec,eec
wines,wine
excluding,exclud
waste,wast
customs,custom
paper,paper
policy,polici
wheat,wheat
european,european
parties,parti
community,commun
originating,origin
customs,custom
expenditure,expenditur
member,member
employment,employ
pressure,pressur
amount,amount
court,court
area,area
traffic,traffic
checks,check
security,secur
exceeding,exceed
market,market
products,product
members,member
Netherlands,Netherland
project,project
development,develop
staff,staff
ir,ir
article,articl
product,product
regulation,regul
bmw,bmw
yarn,yarn
products,product
equipment,equip
time,time
decision,decis
developing,develop
increase,increas
article,articl
Ireland,Ireland
environment,environ
poultry,poultri
Malta,Malta
member,member
vehicle,vehicl
industry,industri
directive,direct
european,european
agency,agenc
parliament,parliament
proposal,propos
tenders,tender
operating,oper
goods,good
regulation,regul
fabrics,fabric
power,power
imports,import
products,product
insurer,insur
farm,farm
countries,countri
undertakings,undertak
species,speci
worked,work
work,work
monetary,monetari
european,european
directive,direct
tha,tha
levy,levi
italian,italian
survey,survei
product,product
con,con
intervention,intervent
storage,storag
oil,oil
amount,amount
community,commun
animals,anim
imports,import
decision,decis
products,product
alcohol,alcohol
product,product
duties,duti
monetary,monetari
duties,duti
authorities,author
expenditure,expenditur
level,level
annex,annex
sea,sea
acp,acp
states,state
contracting,contract
exchange,exchang
member,member
materials,materi
safety,safeti
states,state
compensatory,compensatori
council,council
provisions,provis
committee,committe
textiles,textil
substances,substanc
weight,weight
taxable,taxabl
heading,head
tha,tha
contracts,contract
european,european
parties,parti
pressure,pressur
production,product
de,de
State,State
agreement,agreement
farm,farm
article,articl
aid,aid
community,commun
states,state
decision,decis
staff,staff
protocol,protocol
cf,cf
compensatory,compensatori
market,market
food,food
projects,project
employment,employ
invitation,invit
community,commun
duties,duti
water,water
vehicle,vehicl
products,product
budget,budget
traffic,traffic
community,commun
member,member
regions,region
products,product
states,state
commission,commiss
materials,materi
united,unit
fabrics,fabric
european,european
aid,aid
duty,duti
quotas,quota
social,social
court,court
work,work
contracting,contract
coal,coal
cheese,chees
article,articl
measures,measur
community,commun
persons,person
project,project
economic,econom
states,state
community,commun
food,food
budget,budget
convention,convent
member,member
statistics,statist
prices,price
regions,region
regulation,regul
community,commun
capital,capit
kingdom,kingdom
health,health
european,european
requirements,requir
international,intern
agricultural,agricultur
west,west
heading,head
woven,woven
states,state
table,tabl
rate,rate
agricultural,agricultur
million,million
substances,substanc
member,member
excluding,exclud
imports,import
proposed,propos
froa,froa
committee,committe
road,road
treaty,treati
parts,part
european,european
people,peopl
rate,rate
food,food
projects,project
products,product
protocol,protocol
woven,woven
cigarettes,cigarett
de,de
article,articl
Ireland,Ireland
protocol,protocol
decision,decis
vessel,vessel
officials,offici
year,year
coal,coal
aid,aid
budget,budget
financial,financi
council,council
mio,mio
commission,commiss
customs,custom
workers,worker
ot,ot
states,state
annex,annex
european,european
health,health
vehicle,vehicl
expenditure,expenditur
prices,price
community,commun
products,product
loan,loan
annual,annual
State,State
policy,polici
data,data
commission,commiss
article,articl
origin,origin
rates,rate
reprocessing,reprocess
products,product
ceilings,ceil
growth,growth
products,product
community,commun
negotiations,negoti
tariff,tariff
agreement,agreement
movement,movement
appropriations,appropri
states,state
labour,labour
appliance,applianc
commission,commiss
period,period
areas,area
carriage,carriag
states,state
employed,emploi
cheese,chees
year,year
common,common
chairman,chairman
Italy,Itali
education,educ
aircraft,aircraft
appropriations,appropri
ar,ar
farming,farm
substances,substanc
eec,eec
Brazil,Brazil
fibres,fibr
weight,weight
oil,oil
conditions,condit
council,council
trade,trade
prices,price
council,council
nederland,nederland
protection,protect
gate,gate
protocol,protocol
buffer,buffer
vehicles,vehicl
ECSC,ECSC
marketing,market
employees,employe
materials,materi
european,european
draft,draft
tenderer,tender
executive,execut
office,offic
guidance,guidanc
fibres,fibr
electricity,electr
community,commun
including,includ
contract,contract
labour,labour
tons,ton
accounts,account
catch,catch
heading,head
projects,project
countries,countri
economic,econom
goods,good
artiole,artiol
eec,eec
federal,feder
processing,process
exceed,exce
ment,ment
year,year
metric,metric
article,articl
applicable,applic
fishery,fisheri
veal,veal
quantitative,quantit
commission,commiss
treaty,treati
table,tabl
vine,vine
common,common
regulation,regul
processing,process
directive,direct
account,account
situation,situat
provisions,provis
parties,parti
Greece,Greec
community,commun
party,parti
agreements,agreement
airport,airport
nuclear,nuclear
foot,foot
State,State
products,product
assistance,assist
states,state
decision,decis
authorities,author
product,product
tariff,tariff
will,will
articles,articl
produot,produot
insurer,insur
trade,trade
agreement,agreement
directive,direct
countries,countri
member,member
directive,direct
article,articl
labour,labour
regard,regard
guidance,guidanc
tariff,tariff
community,commun
ECSC,ECSC
community,commun
manufacture,manufactur
tha,tha
beef,beef
year,year
powder,powder
industry,industri
training,train
butter,butter
power,power
processing,process
protection,protect
directive,direct
community,commun
appropriations,appropri
carriage,carriag
european,european
community,commun
agricultural,agricultur
article,articl
cooperation,cooper
development,develop
project,project
member,member
fibres,fibr
companies,compani
ECSC,ECSC
community,commun
facility,facil
european,european
financial,financi
social,social
sea,sea
gas,ga
products,product
council,council
areas,area
zone,zone
social,social
field,field
policy,polici
tariff,tariff
material,materi
countries,countri
financial,financi
territories,territori
commission,commiss
survey,survei
year,year
assistance,assist
directive,direct
transit,transit
credit,credit
Netherlands,Netherland
animal,anim
economic,econom
pressure,pressur
agreement,agreement
intervention,intervent
fisheries,fisheri
product,product
knitted,knit
directive,direct
grape,grape
fruit,fruit
regions,region
increase,increas
environment,environ
port,port
products,product
countries,countri
proposals,propos
whioh,whioh
executive,execut
air,air
commerce,commerc
products,product
protocol,protocol
young,young
inflation,inflat
countries,countri
gas,ga
articles,articl
european,european
fabrics,fabric
tobacco,tobacco
projects,project
directive,direct
total,total
commerce,commerc
regulation,regul
fisheries,fisheri
cover,cover
prices,price
sheet,sheet
measures,measur
Ecu,Ecu
cooperation,cooper
eec,eec
fund,fund
council,council
member,member
employment,employ
ir,ir
tariff,tariff
storage,storag
scientific,scientif
committee,committe
identification,identif
total,total
production,product
council,council
countries,countri
steel,steel
inhalation,inhal
institution,institut
states,state
project,project
imports,import
price,price
distillation,distil
bound,bound
fuel,fuel
common,common
imports,import
rate,rate
rice,rice
economic,econom
contracting,contract
preferences,prefer
community,commun
authorities,author
year,year
commission,commiss
working,work
water,water
granted,grant
contract,contract
uranium,uranium
goods,good
members,member
health,health
net,net
marketing,market
rate,rate
working,work
kingdom,kingdom
local,local
industry,industri
technical,technic
en,en
agricultural,agricultur
foodstuffs,foodstuff
powder,powder
eec,eec
woven,woven
ii,ii
water,water
special,special
social,social
development,develop
market,market
regard,regard
danmark,danmark
waste,wast
sluice,sluic
froa,froa
stock,stock
directive,direct
AIDS,AIDS
material,materi
management,manag
uranium,uranium
text,text
will,will
agency,agenc
task,task
transport,transport
agricultural,agricultur
man,man
community,commun
ceilings,ceil
parts,part
guarantee,guarante
ua,ua
community,commun
article,articl
sea,sea
iron,iron
development,develop
rate,rate
government,govern
services,servic
whioh,whioh
rice,rice
decision,decis
european,european
materials,materi
tions,tion
production,product
agencies,agenc
companies,compani
trade,trade
references,refer
bovine,bovin
trade,trade
regard,regard
ECSC,ECSC
distillation,distil
class,class
community,commun
eec,eec
import,import
State,State
budget,budget
time,time
laws,law
tho,tho
states,state
share,share
article,articl
navigation,navig
fabrics,fabric
jrc,jrc
doors,door
provisions,provis
rice,rice
social,social
paragraph,paragraph
european,european
arrangement,arrang
annex,annex
fruit,fruit
rate,rate
machines,machin
agreement,agreement
amount,amount
economic,econom
agent,agent
equipment,equip
prices,price
port,port
law,law
treaty,treati
ua,ua
council,council
agricultural,agricultur
states,state
tariff,tariff
treaty,treati
fishery,fisheri
certificate,certif
ir,ir
animals,anim
marketing,market
skimmed,skim
programme,programm
work,work
tenders,tender
supply,suppli
authorities,author
environmental,environment
eec,eec
imports,import
year,year
system,system
agreement,agreement
monetary,monetari
development,develop
undertakings,undertak
community,commun
action,action
material,materi
Italy,Itali
man,man
group,group
industry,industri
mark,mark
inventory,inventori
activities,activ
communities,commun
working,work
party,parti
community,commun
trade,trade
regard,regard
number,number
species,speci
member,member
development,develop
rates,rate
community,commun
fuel,fuel
million,million
eua,eua
states,state
policy,polici
statistical,statist
market,market
projects,project
decision,decis
authorities,author
interest,interest
member,member
fresh,fresh
protocol,protocol
equipment,equip
developing,develop
market,market
contracting,contract
textile,textil
products,product
provisions,provis
article,articl
products,product
industrial,industri
prices,price
health,health
date,date
articles,articl
Greece,Greec
present,present
ths,th
operating,oper
services,servic
agreements,agreement
articles,articl
economic,econom
social,social
rates,rate
Ecu,Ecu
coal,coal
subject,subject
agreement,agreement
fibres,fibr
excise,excis
committee,committe
State,State
figures,figur
states,state
community,commun
north,north
financial,financi
market,market
hot,hot
programme,programm
council,council
loans,loan
commission,commiss
regional,region
directive,direct
community,commun
work,work
tha,tha
community,commun
operating,oper
development,develop
environment,environ
consisting,consist
payments,payment
market,market
level,level
spanish,spanish
will,will
exposure,exposur
article,articl
commission,commiss
systems,system
trade,trade
regard,regard
products,product
machines,machin
sludge,sludg
duty,duti
states,state
countries,countri
regulation,regul
agreement,agreement
economic,econom
states,state
decision,decis
article,articl
commission,commiss
will,will
work,work
measuring,measur
guarantee,guarante
authority,author
tissue,tissu
vehicles,vehicl
irregularities,irregular
allowance,allow
content,content
fixed,fix
olive,oliv
representatives,repres
Germany,Germani
motor,motor
industrial,industri
cover,cover
de,de
eec,eec
acid,acid
skimmed,skim
coffee,coffe
silk,silk
exceeding,exceed
support,support
general,gener
european,european
community,commun
world,world
commission,commiss
irish,irish
environmental,environment
cuts,cut
produot,produot
export,export
eec,eec
aid,aid
species,speci
supervisory,supervisori
inventory,inventori
proposal,propos
proposed,propos
intervention,intervent
party,parti
document,document
eec,eec
flax,flax
supply,suppli
wood,wood
machinery,machineri
amount,amount
ha,ha
programme,programm
assets,asset
measures,measur
rolled,roll
field,field
will,will
trade,trade
rate,rate
ho,ho
article,articl
Germany,Germani
industry,industri
finished,finish
well,well
marketing,market
tons,ton
agreement,agreement
member,member
repealed,repeal
premium,premium
textiles,textil
member,member
article,articl
article,articl
variety,varieti
duty,duti
amount,amount
origin,origin
company,compani
article,articl
problems,problem
member,member
protocol,protocol
convention,convent
shares,share
council,council
notes,note
port,port
will,will
mouth,mouth
community,commun
wheat,wheat
article,articl
commission,commiss
community,commun
products,product
sea,sea
duties,duti
amount,amount
parts,part
motor,motor
guarantee,guarante
products,product
operating,oper
water,water
year,year
airport,airport
national,nation
council,council
ha,ha
commission,commiss
regulation,regul
preferences,prefer
share,share
will,will
species,speci
article,articl
ar,ar
veal,veal
intervention,intervent
tons,ton
community,commun
benefits,benefit
export,export
electricity,electr
import,import
waste,wast
vehicles,vehicl
ceilings,ceil
appropriation,appropri
goods,good
economic,econom
states,state
directive,direct
prices,price
trade,trade
problems,problem
technical,technic
states,state
articles,articl
employees,employe
commission,commiss
price,price
nuclear,nuclear
poverty,poverti
contract,contract
labour,labour
protocol,protocol
support,support
concessions,concess
european,european
production,product
catches,catch
insurance,insur
projects,project
increase,increas
shares,share
party,parti
programme,programm
appropriation,appropri
article,articl
economic,econom
work,work
aid,aid
training,train
commission,commiss
State,State
accounts,account
Italy,Itali
veterinary,veterinari
republic,republ
apparatus,apparatu
cooperation,cooper
common,common
party,parti
materials,materi
community,commun
commission,commiss
quality,qualiti
duty,duti
Spain,Spain
market,market
protection,protect
european,european
similar,similar
customs,custom
meeting,meet
produot,produot
agreement,agreement
railway,railwai
exchange,exchang
heading,head
republic,republ
employment,employ
incomes,incom
milk,milk
heat,heat
textile,textil
mission,mission
quantitative,quantit
member,member
contract,contract
commission,commiss
year,year
contracting,contract
commission,commiss
catches,catch
expenditure,expenditur
tonnes,tonn
peat,peat
special,special
appropriation,appropri
technical,technic
community,commun
loans,loan
community,commun
states,state
temporary,temporari
tho,tho
shares,share
task,task
fast,fast
programme,programm
gas,ga
budget,budget
products,product
problems,problem
accession,access
commission,commiss
exposed,expos
legislation,legisl
will,will
will,will
arrangement,arrang
marketing,market
alcohol,alcohol
products,product
materials,materi
Ecu,Ecu
duties,duti
investment,invest
applicable,applic
delivery,deliveri
party,parti
islands,island
joint,joint
State,State
total,total
economic,econom
training,train
level,level
financing,financ
legal,legal
typing,type
inland,inland
contract,contract
social,social
Spain,Spain
products,product
measures,measur
meetings,meet
Luxembourg,Luxembourg
EDF,EDF
region,region
account,account
er,er
land,land
annex,annex
products,product
illuminating,illumin
garments,garment
heading,head
production,product
case,case
article,articl
international,intern
countries,countri
european,european
northern,northern
quality,qualiti
fat,fat
product,product
beans,bean
requirements,requir
coke,coke
agriculture,agricultur
companies,compani
safeguards,safeguard
provisions,provis
proposals,propos
contract,contract
agreement,agreement
documents,document
will,will
articles,articl
nuclear,nuclear
pulp,pulp
ii,ii
directive,direct
family,famili
milk,milk
directive,direct
zone,zone
steel,steel
action,action
growth,growth
Bangladesh,Bangladesh
member,member
ia,ia
refund,refund
german,german
statistical,statist
originating,origin
ments,ment
tobacco,tobacco
quantity,quantiti
undertakings,undertak
states,state
consolidation,consolid
slaughter,slaughter
countries,countri
states,state
market,market
products,product
authorised,authoris
products,product
competent,compet
authorities,author
quotation,quotat
european,european
problem,problem
maximum,maximum
mediterranean,mediterranean
originating,origin
tariff,tariff
government,govern
commercial,commerci
european,european
energy,energi
lift,lift
measures,measur
applicable,applic
european,european
council,council
member,member
community,commun
medicinal,medicin
ii,ii
oil,oil
apparatus,apparatu
froa,froa
payment,payment
republic,republ
executive,execut
appliance,applianc
situation,situat
fabrics,fabric
undertakings,undertak
force,forc
family,famili
community,commun
eec,eec
member,member
State,State
market,market
annex,annex
goods,good
ii,ii
eggs,egg
sugar,sugar
countries,countri
development,develop
working,work
agency,agenc
production,product
transit,transit
quality,qualiti
member,member
commission,commiss
staff,staff
vehicles,vehicl
delivery,deliveri
policies,polici
farming,farm
competition,competit
acp,acp
general,gener
reactor,reactor
rate,rate
flax,flax
article,articl
million,million
goods,good
leather,leather
services,servic
european,european
training,train
international,intern
electricity,electr
negotiations,negoti
community,commun
eec,eec
fishery,fisheri
legislation,legisl
action,action
monetary,monetari
share,share
Australia,Australia
financing,financ
article,articl
products,product
european,european
commission,commiss
production,product
priority,prioriti
accession,access
country,countri
account,account
Germany,Germani
bovine,bovin
council,council
electrical,electr
trade,trade
cereals,cereal
commission,commiss
originating,origin
crocheted,crochet
State,State
regulation,regul
acid,acid
regional,region
year,year
water,water
airport,airport
heading,head
duties,duti
proposal,propos
end,end
agent,agent
vehicles,vehicl
land,land
electrical,electr
council,council
vocational,vocat
agriculture,agricultur
developing,develop
community,commun
including,includ
communities,commun
knitted,knit
retail,retail
supplies,suppli
provisions,provis
planned,plan
acp,acp
december,decemb
species,speci
budget,budget
consumption,consumpt
brown,brown
regional,region
community,commun
export,export
proposal,propos
investment,invest
amended,amend
State,State
hours,hour
il,il
share,share
agent,agent
programme,programm
safety,safeti
figures,figur
compulsory,compulsori
marketing,market
order,order
Portugal,Portug
industry,industri
air,air
regulation,regul
member,member
study,studi
GATT,GATT
year,year
description,descript
including,includ
safety,safeti
falling,fall
hellenic,hellen
public,public
falling,fall
aid,aid
provisions,provis
member,member
Portugal,Portug
form,form
resources,resourc
common,common
women,women
appliances,applianc
guidance,guidanc
treaty,treati
varieties,varieti
tariffs,tariff
control,control
employment,employ
spanish,spanish
account,account
seed,seed
opinion,opinion
Ireland,Ireland
educational,educ
population,popul
posts,post
cr,cr
farm,farm
medicinal,medicin
price,price
fog,fog
articles,articl
content,content
projects,project
carried,carri
operations,oper
states,state
year,year
amended,amend
italia,italia
effects,effect
carcases,carcas
textile,textil
air,air
member,member
undertakings,undertak
council,council
general,gener
Canada,Canada
provision,provis
adopted,adopt
supply,suppli
committee,committe
authorities,author
aid,aid
wool,wool
stations,station
duties,duti
articles,articl
insured,insur
pigs,pig
metric,metric
annual,annual
vessels,vessel
example,exampl
technical,technic
measures,measur
republic,republ
taxation,taxat
provided,provid
market,market
measures,measur
community,commun
working,work
sion,sion
white,white
stocks,stock
competition,competit
accession,access
fishing,fish
frozen,frozen
arrangement,arrang
council,council
iron,iron
growing,grow
apples,appl
falling,fall
authorities,author
taxes,tax
competent,compet
appropriations,appropri
large,larg
values,valu
contracting,contract
council,council
State,State
ratification,ratif
agreement,agreement
address,address
staff,staff
inspection,inspect
referred,refer
regulation,regul
operations,oper
directive,direct
states,state
textile,textil
foodstuffs,foodstuff
sugar,sugar
services,servic
metal,metal
bureaux,bureaux
insured,insur
negotiations,negoti
committee,committe
type,type
will,will
destination,destin
community,commun
states,state
survey,survei
european,european
fund,fund
islands,island
shares,share
undertakings,undertak
sea,sea
movement,movement
ia,ia
amount,amount
production,product
community,commun
processing,process
women,women
decision,decis
nuclear,nuclear
origin,origin
states,state
requirements,requir
member,member
article,articl
regulation,regul
aid,aid
measures,measur
region,region
commission,commiss
aid,aid
international,intern
energy,energi
italian,italian
knitted,knit
management,manag
decision,decis
excise,excis
flax,flax
national,nation
regulations,regul
women,women
article,articl
projects,project
import,import
proposal,propos
farms,farm
fish,fish
person,person
work,work
countries,countri
State,State
reactor,reactor
project,project
year,year
lome,lome
action,action
system,system
fixed,fix
programmes,programm
december,decemb
duties,duti
year,year
states,state
disease,diseas
article,articl
system,system
negotiations,negoti
beef,beef
latitude,latitud
exceed,exce
fibres,fibr
committee,committe
alcohol,alcohol
content,content
population,popul
consumption,consumpt
pollution,pollut
address,address
january,januari
arrangements,arrang
communication,commun
artiole,artiol
party,parti
international,intern
notes,note
duty,duti
article,articl
operations,oper
development,develop
powder,powder
electricity,electr
category,categori
general,gener
community,commun
total,total
centre,centr
respect,respect
construction,construct
treaty,treati
european,european
zone,zone
committee,committe
countries,countri
steels,steel
measure,measur
oj,oj
terms,term
member,member
community,commun
portuguese,portugues
transit,transit
reduction,reduct
oi,oi
State,State
participant,particip
Europe,Europ
work,work
test,test
financial,financi
commission,commiss
view,view
will,will
article,articl
public,public
person,person
action,action
development,develop
agreements,agreement
community,commun
price,price
south,south
energy,energi
duties,duti
countries,countri
rates,rate
compensatory,compensatori
goods,good
concluded,conclud
duties,duti
article,articl
certificates,certif
will,will
european,european
action,action
sound,sound
projects,project
commercial,commerci
northern,northern
system,system
regulation,regul
july,juli
fat,fat
community,commun
agriculture,agricultur
set,set
Belgium,Belgium
based,base
areas,area
council,council
ti,ti
development,develop
states,state
tender,tender
reflex,reflex
waste,wast
falling,fall
community,commun
will,will
training,train
associated,associ
will,will
applicable,applic
ii,ii
health,health
pig,pig
produota,produota
certificate,certif
seat,seat
market,market
certified,certifi
meeting,meet
euratom,euratom
amended,amend
meeting,meet
successful,success
parties,parti
control,control
fund,fund
linen,linen
production,product
customs,custom
heading,head
export,export
alu,alu
butteroil,butteroil
companies,compani
waters,water
plates,plate
activities,activ
term,term
products,product
amount,amount
counoil,counoil
tender,tender
article,articl
systems,system
heading,head
nity,niti
prices,price
quantities,quantiti
sales,sale
products,product
frozen,frozen
animal,anim
import,import
article,articl
undertakings,undertak
quality,qualiti
de,de
subheading,subhead
conditions,condit
products,product
states,state
accounts,account
view,view
equipment,equip
marine,marin
agreement,agreement
reserves,reserv
force,forc
arab,arab
communities,commun
data,data
door,door
application,applic
amount,amount
february,februari
measures,measur
draft,draft
limits,limit
acid,acid
exceeding,exceed
taxation,taxat
falling,fall
territory,territori
grouping,group
imports,import
task,task
tests,test
market,market
european,european
legal,legal
commerce,commerc
pigs,pig
products,product
granted,grant
article,articl
tons,ton
article,articl
allowance,allow
customs,custom
ho,ho
regulation,regul
wine,wine
metric,metric
will,will
health,health
market,market
stations,station
country,countri
action,action
light,light
wood,wood
commission,commiss
inland,inland
goods,good
will,will
population,popul
trade,trade
associated,associ
policy,polici
activities,activ
Netherlands,Netherland
textile,textil
supervisory,supervisori
AIDS,AIDS
taxes,tax
information,inform
health,health
official,offici
hours,hour
states,state
consumption,consumpt
community,commun
commission,commiss
holdings,hold
fisheries,fisheri
employed,emploi
committee,committe
investment,invest
reserves,reserv
safeguards,safeguard
eua,eua
cover,cover
decision,decis
measures,measur
surveys,survei
sugar,sugar
meua,meua
community,commun
office,offic
assets,asset
France,Franc
swine,swine
cooperation,cooper
technical,technic
agreements,agreement
aid,aid
area,area
finished,finish
agreement,agreement
referred,refer
distillation,distil
exceeding,exceed
development,develop
tonnes,tonn
effects,effect
destination,destin
republic,republ
accession,access
period,period
produots,produot
information,inform
railways,railwai
navigation,navig
falling,fall
letters,letter
applications,applic
terms,term
total,total
demonstration,demonstr
rubber,rubber
directorate,director
garments,garment
harmonization,harmon
equipment,equip
paragraph,paragraph
Netherlands,Netherland
sea,sea
oj,oj
fishery,fisheri
posts,post
increase,increas
development,develop
community,commun
general,gener
article,articl
regard,regard
total,total
june,june
services,servic
social,social
ar,ar
reserves,reserv
energy,energi
technological,technolog
substances,substanc
weight,weight
commitments,commit
increase,increas
years,year
transitional,transit
aid,aid
workers,worker
employed,emploi
economic,econom
european,european
negotiations,negoti
quality,qualiti
packages,packag
steel,steel
power,power
subheading,subhead
annex,annex
monetary,monetari
referred,refer
eec,eec
article,articl
article,articl
committee,committe
eur,eur
chapter,chapter
measures,measur
migrant,migrant
rate,rate
agricultural,agricultur
protection,protect
harvest,harvest
vehicle,vehicl
national,nation
family,famili
milk,milk
reference,refer
marketing,market
advisory,advisori
united,unit
Europe,Europ
employment,employ
expenses,expens
il,il
measures,measur
content,content
article,articl
lighting,light
knitted,knit
excluding,exclud
development,develop
period,period
february,februari
aid,aid
consumption,consumpt
force,forc
britain,britain
lead,lead
products,product
nnd,nnd
par,par
point,point
coking,coke
plant,plant
members,member
balance,balanc
committee,committe
concerning,concern
port,port
participants,particip
declaration,declar
article,articl
knitted,knit
consumption,consumpt
commission,commiss
rate,rate
bank,bank
returning,return
powder,powder
balance,balanc
zones,zone
metal,metal
studies,studi
balance,balanc
letter,letter
taxes,tax
aro,aro
fixed,fix
commission,commiss
surveys,survei
processing,process
